"idWilayah"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKabupatenKota"|"jumlahTps"|"jumlahSuara"
"36"|81878|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MAYBRAT"|"MAYBRAT"|"PAPUA BARAT"|"MAYBRAT"|260|28914
"37"|76651|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BURU"|"BURU"|"MALUKU"|"BURU"|259|71350
"38"|20803|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENGKULU TENGAH"|"BENGKULU TENGAH"|"BENGKULU"|"BENGKULU TENGAH"|213|61097
"39"|38136|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - PATI"|"PATI"|"JAWA TENGAH"|"PATI"|2295|712363
"40"|68309|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUOL"|"BUOL"|"SULAWESI TENGAH"|"BUOL"|295|77903
"41"|4086|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - SIMEULUE"|"SIMEULUE"|"ACEH"|"SIMEULUE"|180|48203
"42"|81877|"Pemilihan Gubernur/Wakil Gubernur - PAPUA BARAT"|"PAPUA BARAT"|"PAPUA BARAT"|NA|2557|495873
"43"|57406|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - LEMBATA"|"LEMBATA"|"NUSA TENGGARA TIMUR"|"LEMBATA"|226|63672
"44"|15775|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - KOTA PEKANBARU"|"KOTA PEKANBARU"|"RIAU"|"KOTA PEKANBARU"|1796|290415
"45"|16699|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MUARO JAMBI"|"MUARO JAMBI"|"JAMBI"|"MUARO JAMBI"|840|195995
"46"|78324|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - TOLIKARA"|"TOLIKARA"|"PAPUA"|"TOLIKARA"|499|193618
"47"|38706|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - JEPARA"|"JEPARA"|"JAWA TENGAH"|"JEPARA"|1805|639880
"48"|77311|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - HALMAHERA TENGAH"|"HALMAHERA TENGAH"|"MALUKU UTARA"|"HALMAHERA TENGAH"|74|29251
"49"|22439|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MESUJI"|"MESUJI"|"LAMPUNG"|"MESUJI"|279|106768
"50"|79019|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - MAPPI"|"MAPPI"|"PAPUA"|"MAPPI"|230|47937
"51"|23460|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - LAMPUNG BARAT"|"LAMPUNG BARAT"|"LAMPUNG"|"LAMPUNG BARAT"|533|166188
"52"|77086|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - PULAU MOROTAI"|"PULAU MOROTAI"|"MALUKU UTARA"|"PULAU MOROTAI"|108|38611
"53"|269|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - ACEH TENGGARA"|"ACEH TENGGARA"|"ACEH"|"ACEH TENGGARA"|428|119655
