"idWilayah"|"nomorUrut"|"jumlahSuara"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKd"|"namaWkd"
"1"|25823|2|2351245|"Pemilihan Gubernur/Wakil Gubernur - DKI JAKARTA"|"DKI JAKARTA"|"DKI JAKARTA"|"Ir. Basuki Tjahaja Purnama, M.M."|"Drs. H. Djarot Saiful Hidayat, M.S."
"2"|25823|3|3240332|"Pemilihan Gubernur/Wakil Gubernur - DKI JAKARTA"|"DKI JAKARTA"|"DKI JAKARTA"|"Anies Baswedan, Ph.D."|"Sandiaga Salahuddin Uno"
